kernel,impl,variant,dtype,m,n,k,time_ms,gflops,gbytes_s,correct
reduction,cuda,naive,f32,4194304,1,1,0.058368,71.860,287.439,1
reduction,cuda,warp_shfl,f32,4194304,1,1,0.024480,171.336,685.344,1
reduction,cuda,naive,f32,16777216,1,1,0.221184,75.852,303.407,1
reduction,cuda,warp_shfl,f32,16777216,1,1,0.079872,210.051,840.205,1
reduction,cuda,naive,f32,67108864,1,1,0.869376,77.192,308.768,1
reduction,cuda,warp_shfl,f32,67108864,1,1,0.301056,222.912,891.646,1
reduction,cuda,naive,f32,268435456,1,1,3.089408,86.889,347.556,1
reduction,cuda,warp_shfl,f32,268435456,1,1,1.188640,225.834,903.336,1
reduction,mojo,warp_shfl,f32,4194304,1,1,0.02762176,151.8477823281355,607.3912741259065,1
reduction,mojo,warp_shfl,f32,16777216,1,1,0.08879678,188.93945253420225,755.7578551834875,1
reduction,mojo,warp_shfl,f32,67108864,1,1,0.34470016,194.68764679424578,778.7505987812713,1
reduction,mojo,warp_shfl,f32,268435456,1,1,1.32706176,202.27804243262952,809.1121727446957,1
softmax,cuda,naive,f32,16384,1024,1,0.162816,515.220,824.352,1
softmax,cuda,online,f32,16384,1024,1,0.169856,493.866,790.185,1
softmax,cuda,naive,f32,4096,4096,1,0.289792,289.470,463.152,1
softmax,cuda,online,f32,4096,4096,1,0.232384,360.980,577.569,1
softmax,cuda,naive,f32,1024,16384,1,0.320288,261.908,419.053,1
softmax,cuda,online,f32,1024,16384,1,0.241632,347.165,555.463,1
softmax,mojo,online,f32,16384,1024,1,0.19786685999999998,423.95214640794325,678.3234342527091,1
softmax,mojo,online,f32,4096,4096,1,0.27439552,305.7122798506331,489.13964776101295,1
softmax,mojo,online,f32,1024,16384,1,0.2911552,288.1146550018684,460.98344800298946,1
matmul,cuda,naive,f32,1024,1024,1024,0.934912,2296.990,13.459,1
matmul,cuda,tiled,f32,1024,1024,1024,0.766976,2799.936,16.406,1
matmul,cuda,regblock,f32,1024,1024,1024,0.218112,9845.784,57.690,1
matmul,cuda,cublas,f32,1024,1024,1024,0.110592,19418.074,113.778,1
matmul,cuda,naive,f32,2048,2048,2048,7.313120,2349.185,6.882,1
matmul,cuda,tiled,f32,2048,2048,2048,5.948064,2888.313,8.462,1
matmul,cuda,regblock,f32,2048,2048,2048,0.998400,17207.401,50.412,1
matmul,cuda,cublas,f32,2048,2048,2048,0.666624,25771.453,75.502,1
matmul,cuda,tiled,f32,4096,4096,4096,48.670719,2823.853,4.137,1
matmul,cuda,regblock,f32,4096,4096,4096,7.149568,19223.393,28.159,1
matmul,cuda,cublas,f32,4096,4096,4096,5.312352,25871.582,37.898,1
matmul,mojo,tiled,f32,1024,1024,1024,0.80710075,2660.7380156690474,15.590261810560825,1
matmul,mojo,regblock,f32,1024,1024,1024,0.23747835,9042.860740779106,52.98551215300258,1
matmul,mojo,tiled,f32,2048,2048,2048,6.2446079,2751.1525878190046,8.06001734712599,1
matmul,mojo,regblock,f32,2048,2048,2048,1.4429455500000001,11906.110514010732,34.881183146515816,1
matmul,mojo,tiled,f32,4096,4096,4096,44.91716305,3059.8315685923535,4.482175149305205,1
matmul,mojo,regblock,f32,4096,4096,4096,8.3250175,16509.148896323644,24.183323578599087,1
